Date,Time,Open,High,Low,Close,Volume,,,,,,20240101,230100
1/2/2024,2:21 AM,17013.25,17013.5,17012.5,17013.5,98,,,,,,20240102,22200
1/2/2024,2:22 AM,17013.75,17015,17013.5,17014.75,51,,,,,,20240102,22300
1/2/2024,2:23 AM,17014.75,17016,17014.5,17015.5,260,,,,,,20240102,22400
1/2/2024,2:24 AM,17015.5,17015.5,17012.25,17012.25,99,,,,,,20240102,22500
1/2/2024,2:25 AM,17012.5,17014.25,17011.75,17014,150,,,,,,20240102,22600
1/2/2024,2:26 AM,17014,17014.25,17013.25,17013.5,57,,,,,,20240102,22700
1/2/2024,2:27 AM,17013.5,17014.75,17013.5,17014.25,83,,,,,,20240102,22800
1/2/2024,2:28 AM,17014.5,17014.75,17013.25,17013.5,46,,,,,,20240102,22900
1/2/2024,2:29 AM,17013.75,17014.5,17011.75,17011.75,124,,,,,,20240102,23000
1/2/2024,2:30 AM,17011.75,17013.25,17010,17011.5,429,,,,,,20240102,23100
1/2/2024,2:31 AM,17012,17012.5,17008.75,17009.75,251,,,,,,20240102,23200
1/2/2024,2:32 AM,17009.75,17012.25,17008.5,17012,217,,,,,,20240102,23300
1/2/2024,2:33 AM,17012.75,17012.75,17012,17012.25,131,,,,,,20240102,23400
1/2/2024,2:34 AM,17012.25,17013.5,17011.25,17011.5,136,,,,,,20240102,23500
1/2/2024,2:35 AM,17012,17012.25,17010.5,17012.25,77,,,,,,20240102,23600
1/2/2024,2:36 AM,17012,17012.75,17011.25,17012.25,71,,,,,,20240102,23700
1/2/2024,2:37 AM,17012.25,17012.75,17011.5,17011.5,53,,,,,,20240102,23800
1/2/2024,2:38 AM,17011.25,17011.75,17010.25,17010.75,63,,,,,,20240102,23900
1/2/2024,2:39 AM,17010.25,17010.25,17006.75,17007.75,196,,,,,,20240102,24000
1/2/2024,2:40 AM,17007,17011,17006.5,17010.75,260,,,,,,20240102,24100
1/2/2024,2:41 AM,17010.25,17011.25,17009.75,17009.75,132,,,,,,20240102,24200
1/2/2024,2:42 AM,17009.5,17010,17008.5,17009.75,81,,,,,,20240102,24300
1/2/2024,2:43 AM,17010,17011.5,17010,17010,66,,,,,,20240102,24400
1/2/2024,2:44 AM,17010,17012.5,17010,17011.5,115,,,,,,20240102,24500
1/2/2024,2:45 AM,17011.5,17012.5,17010.75,17010.75,56,,,,,,20240102,24600
1/2/2024,2:46 AM,17011.25,17011.25,17009.75,17010.25,59,,,,,,20240102,24700
1/2/2024,2:47 AM,17010.25,17011.5,17010,17010.5,63,,,,,,20240102,24800
1/2/2024,2:48 AM,17010.5,17011.5,17010.5,17011,56,,,,,,20240102,24900
1/2/2024,2:49 AM,17010.75,17011,17010,17011,41,,,,,,20240102,25000
1/2/2024,2:50 AM,17011,17011.25,17009.75,17010,61,,,,,,20240102,25100
1/2/2024,2:51 AM,17010,17010.5,17009.75,17009.75,32,,,,,,20240102,25200
1/2/2024,2:52 AM,17010,17010.25,17006.25,17006.75,177,,,,,,20240102,25300
1/2/2024,2:53 AM,17006.75,17006.75,17003.75,17003.75,297,,,,,,20240102,25400
1/2/2024,2:54 AM,17004,17004,17001,17001.75,526,,,,,,20240102,25500
1/2/2024,2:55 AM,17001.75,17004,17001.5,17003.25,168,,,,,,20240102,25600
1/2/2024,2:56 AM,17003.5,17005.25,17003.5,17004.75,162,,,,,,20240102,25700
1/2/2024,2:57 AM,17005.25,17006.25,17005,17006,140,,,,,,20240102,25800
1/2/2024,2:58 AM,17006,17007.5,17005.75,17007,108,,,,,,20240102,25900
1/2/2024,2:59 AM,17007.25,17007.75,17006.75,17007.25,70,,,,,,20240102,30000
1/2/2024,3:00 AM,17007.25,17009,17007.25,17008.5,94,,,,,,20240102,30100
1/2/2024,3:01 AM,17008.25,17009.5,17008.25,17008.75,123,,,,,,20240102,30200
1/2/2024,3:02 AM,17009.25,17009.75,17008.75,17009.25,67,,,,,,20240102,30300
