,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id,Points,Futures PnL,Net Futures PnL
698,698,0,1.0,2024-02-23 06:04:00,18054.30525,0.0,2024-02-23 06:28:00,18043.69545,0.0,-10.609800000001997,-0.000587660386433424,Long,Closed,698,-10.609800000001997,-21.219600000003993,-24.219600000003993
699,699,0,1.0,2024-02-23 07:47:00,18041.553975,0.0,2024-02-23 08:07:00,18019.947825,0.0,-21.606149999999616,-0.0011975769953042317,Long,Closed,699,-21.606149999999616,-43.21229999999923,-46.21229999999923
700,700,0,1.0,2024-02-23 08:41:00,18038.303649999998,0.0,2024-02-23 08:52:00,18017.448075,0.0,-20.85557499999777,-0.001156182721206036,Long,Closed,700,-20.85557499999777,-41.71114999999554,-44.71114999999554
701,701,0,1.0,2024-02-23 09:57:00,18017.30155,0.0,2024-02-23 10:13:00,18007.449075,0.0,-9.852474999999686,-0.0005468341067977345,Long,Closed,701,-9.852474999999686,-19.70494999999937,-22.70494999999937
702,702,0,1.0,2024-02-23 10:19:00,18015.30135,0.0,2024-02-23 12:18:00,18022.69755,0.0,7.396199999999226,0.00041055100085790266,Long,Closed,702,7.396199999999226,14.792399999998452,11.792399999998452
703,703,0,1.0,2024-02-23 12:31:00,18039.8038,0.0,2024-02-23 14:58:00,18068.442975,0.0,28.63917500000025,0.0015875546828286596,Long,Closed,703,28.63917500000025,57.2783500000005,54.2783500000005
704,704,0,1.0,2024-02-23 16:34:00,18013.30115,0.0,2024-02-23 17:31:00,17998.699950000002,0.0,-14.601199999997334,-0.0008105787983230012,Long,Closed,704,-14.601199999997334,-29.202399999994668,-32.20239999999467
705,705,0,1.0,2024-02-23 17:54:00,18036.553475,0.0,2024-02-23 18:45:00,18036.1962,0.0,-0.35727500000211876,-1.980838526037296e-05,Long,Closed,705,-0.35727500000211876,-0.7145500000042375,-3.7145500000042375
706,706,0,1.0,2024-02-23 19:43:00,18016.30145,0.0,2024-02-23 19:50:00,18009.1989,0.0,-7.10254999999961,-0.00039422908301745864,Long,Closed,706,-7.10254999999961,-14.20509999999922,-17.20509999999922
707,707,0,1.0,2024-02-23 19:54:00,18019.551775,0.0,2024-02-23 20:10:00,17985.451275,0.0,-34.100500000000466,-0.001892416660846741,Long,Closed,707,-34.100500000000466,-68.20100000000093,-71.20100000000093
708,708,0,1.0,2024-02-23 20:45:00,17997.7996,0.0,2024-02-23 21:04:00,17966.953125,0.0,-30.846474999998463,-0.001713902570623048,Long,Closed,708,-30.846474999998463,-61.69294999999693,-64.69294999999693
709,709,0,1.0,2024-02-23 21:46:00,17973.29715,0.0,2024-02-23 21:59:00,17960.953725,0.0,-12.343424999999115,-0.0006867646429580738,Long,Closed,709,-12.343424999999115,-24.68684999999823,-27.68684999999823
710,710,0,1.0,2024-02-25 23:11:00,17978.547675,0.0,2024-02-26 00:03:00,17957.2041,0.0,-21.343575000002602,-0.0011871690297699533,Long,Closed,710,-21.343575000002602,-42.687150000005204,-45.687150000005204
711,711,0,1.0,2024-02-26 01:27:00,17946.7945,0.0,2024-02-26 02:01:00,17941.2057,0.0,-5.588800000001356,-0.0003114093717405276,Long,Closed,711,-5.588800000001356,-11.177600000002712,-14.177600000002712
712,712,0,1.0,2024-02-26 02:18:00,17956.545475,0.0,2024-02-26 02:59:00,17950.954725,0.0,-5.590749999999389,-0.0003113488620505047,Long,Closed,712,-5.590749999999389,-11.181499999998778,-14.181499999998778
713,713,0,1.0,2024-02-26 03:39:00,17951.795,0.0,2024-02-26 04:04:00,17950.454775000002,0.0,-1.3402249999962805,-7.465687971572095e-05,Long,Closed,713,-1.3402249999962805,-2.680449999992561,-5.680449999992561
714,714,0,1.0,2024-02-26 04:46:00,17951.795,0.0,2024-02-26 05:52:00,17952.954525,0.0,1.159525000002759,6.459103393297212e-05,Long,Closed,714,1.159525000002759,2.319050000005518,-0.6809499999944819
715,715,0,1.0,2024-02-26 07:18:00,17942.544075,0.0,2024-02-26 07:22:00,17933.956425,0.0,-8.587650000001304,-0.0004786194178542824,Long,Closed,715,-8.587650000001304,-17.175300000002608,-20.175300000002608
716,716,0,1.0,2024-02-26 07:31:00,17946.7945,0.0,2024-02-26 09:10:00,17944.455375,0.0,-2.339124999998603,-0.00013033664591181467,Long,Closed,716,-2.339124999998603,-4.678249999997206,-7.678249999997206
717,717,0,1.0,2024-02-26 09:27:00,17969.046725,0.0,2024-02-26 11:04:00,17986.2012,0.0,17.154474999999366,0.0009546680612796595,Long,Closed,717,17.154474999999366,34.30894999999873,31.30894999999873
718,718,0,1.0,2024-02-26 11:18:00,18001.29995,0.0,2024-02-26 11:51:00,17984.951325,0.0,-16.34862499999872,-0.0009081913553692393,Long,Closed,718,-16.34862499999872,-32.69724999999744,-35.69724999999744
719,719,0,1.0,2024-02-26 12:26:00,17990.7989,0.0,2024-02-26 12:44:00,17975.952225,0.0,-14.846675000000687,-0.0008252371160682967,Long,Closed,719,-14.846675000000687,-29.693350000001374,-32.693350000001374
720,720,0,1.0,2024-02-26 13:12:00,17991.799,0.0,2024-02-26 14:07:00,18007.69905,0.0,15.900050000000192,0.0008837387523059919,Long,Closed,720,15.900050000000192,31.800100000000384,28.800100000000384
721,721,0,1.0,2024-02-26 14:32:00,18046.30445,0.0,2024-02-26 14:48:00,17971.952625,0.0,-74.35182499999792,-0.0041200582205626,Long,Closed,721,-74.35182499999792,-148.70364999999583,-151.70364999999583
722,722,0,1.0,2024-02-26 15:14:00,18009.8008,0.0,2024-02-26 16:03:00,18021.1977,0.0,11.396899999999732,0.0006328165495311715,Long,Closed,722,11.396899999999732,22.793799999999464,19.793799999999464
723,723,0,1.0,2024-02-26 16:37:00,18028.30265,0.0,2024-02-26 17:09:00,18031.946625,0.0,3.6439749999990454,0.00020212524000416896,Long,Closed,723,3.6439749999990454,7.287949999998091,4.287949999998091
724,724,0,1.0,2024-02-26 17:16:00,18038.8037,0.0,2024-02-26 17:18:00,18035.946225,0.0,-2.8574750000007043,-0.00015840712319524294,Long,Closed,724,-2.8574750000007043,-5.714950000001409,-8.714950000001409
725,725,0,1.0,2024-02-26 17:20:00,18034.8033,0.0,2024-02-26 17:43:00,18035.946225,0.0,1.1429250000001048,6.337330000156446e-05,Long,Closed,725,1.1429250000001048,2.2858500000002095,-0.7141499999997905
726,726,0,1.0,2024-02-26 18:16:00,18034.053225,0.0,2024-02-26 18:21:00,18010.448775,0.0,-23.604449999998906,-0.0013088821301290635,Long,Closed,726,-23.604449999998906,-47.20889999999781,-50.20889999999781
727,727,0,1.0,2024-02-26 19:03:00,18026.30245,0.0,2024-02-26 19:49:00,18022.947525,0.0,-3.354924999999639,-0.0001861127654606527,Long,Closed,727,-3.354924999999639,-6.709849999999278,-9.709849999999278
728,728,0,1.0,2024-02-26 20:17:00,18031.803,0.0,2024-02-26 20:24:00,18009.448875000002,0.0,-22.35412499999802,-0.001239705480366995,Long,Closed,728,-22.35412499999802,-44.70824999999604,-47.70824999999604
729,729,0,1.0,2024-02-26 23:17:00,17960.29585,0.0,2024-02-27 00:03:00,17957.70405,0.0,-2.5917999999983294,-0.00014430719970564014,Long,Closed,729,-2.5917999999983294,-5.183599999996659,-8.183599999996659
730,730,0,1.0,2024-02-27 00:35:00,17961.545975,0.0,2024-02-27 01:19:00,17952.70455,0.0,-8.841425000002346,-0.0004922418711790395,Long,Closed,730,-8.841425000002346,-17.68285000000469,-20.68285000000469
731,731,0,1.0,2024-02-27 01:33:00,17967.7966,0.0,2024-02-27 01:51:00,17956.454175,0.0,-11.34242500000255,-0.0006312641028005932,Long,Closed,731,-11.34242500000255,-22.6848500000051,-25.6848500000051
732,732,0,1.0,2024-02-27 01:52:00,17961.796,0.0,2024-02-27 01:55:00,17957.454075,0.0,-4.341924999996991,-0.0002417311164204844,Long,Closed,732,-4.341924999996991,-8.683849999993981,-11.683849999993981
733,733,0,1.0,2024-02-27 02:01:00,17964.796299999998,0.0,2024-02-27 02:19:00,17954.454375,0.0,-10.34192499999699,-0.0005756772761179035,Long,Closed,733,-10.34192499999699,-20.68384999999398,-23.68384999999398
